title	artist	album	duration_seconds
成都	赵雷	无法长大	328
七里香	周杰伦	七里香	299
演员	薛之谦	绅士	261
光年之外	G.E.M. 邓紫棋	光年之外	235
童话	光良	童话	242
平凡之路	朴树	猎户星座	301
后来	刘若英	我等你	331
大鱼	周深	大鱼	298
小幸运	田馥甄	我的少女时代 电影原声带	270
告白气球	周杰伦	周杰伦的床边故事	215
稻香	周杰伦	魔杰座	223
青花瓷	周杰伦	我很忙	239
晴天	周杰伦	叶惠美	269
夜曲	周杰伦	十一月的萧邦	234
以父之名	周杰伦	叶惠美	349
说好不哭	周杰伦 feat. 五月天阿信	说好不哭	228
起风了	买辣椒也用券	起风了	326
这世界那么多人	莫文蔚	这世界那么多人	254
如愿	王菲	如愿	265
可惜没如果	林俊杰	新地球	293
修炼爱情	林俊杰	新地球	278
江南	林俊杰	第二天堂	260
曹操	林俊杰	曹操	248
年少有为	李荣浩	耳朵	260
十年	陈奕迅	黑·白·灰	195
富士山下	陈奕迅	What'S Going On...?	243
好久不见	陈奕迅	认了吧	238
红玫瑰	陈奕迅	认了吧	251
爱情转移	陈奕迅	认了吧	244
陀飞轮	陈奕迅	Time Flies	226
K歌之王	陈奕迅	打得火热	242
勇气	梁静茹	勇气	218
会呼吸的痛	梁静茹	崇拜	242
分手快乐	梁静茹	Sunrise, 我喜欢	269
我怀念的	孙燕姿	逆光	277
突然好想你	五月天	后青春期的诗	262
温柔	五月天	爱情万岁	268
倔强	五月天	神的孩子都在跳舞	256
如果有来生	谭维维	乌龟与鲸	261
光辉岁月	Beyond	命运派对	326
像我这样的人	毛不易	平凡的一天	255
消愁	毛不易	消愁	259
年轮	张碧晨	花千骨 电视剧原声带	286
说散就散	JC	前任3：再见前任 电影原声带	279
默	那英	陪伴	279
泡沫	G.E.M. 邓紫棋	Xposed	254
无问	毛不易	平凡的一天	261
安和桥	宋冬野	安和桥北	248
可不可以	张紫豪	可不可以	219
我	莫文蔚	我要说 I Say	258
Blinding Lights	The Weeknd	After Hours	200
Shape of You	Ed Sheeran	÷	234
Someone Like You	Adele	21	285
Bohemian Rhapsody	Queen	A Night at the Opera	354
Anti-Hero	Taylor Swift	Midnights	201
Hotel California	Eagles	Hotel California	391
Happier Than Ever	Billie Eilish	Happier Than Ever	298
bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	194
lovely	Billie Eilish & Khalid	13 Reasons Why: Season 2	200
Easy On Me	Adele	30	224
Rolling in the Deep	Adele	21	228
Blank Space	Taylor Swift	1989	231
Love Story	Taylor Swift	Fearless	235
Cruel Summer	Taylor Swift	Lover	178
cardigan	Taylor Swift	folklore	239
Memories	Maroon 5	JORDI	189
Yellow	Coldplay	Parachutes	266
Viva La Vida	Coldplay	Viva La Vida or Death and All His Friends	242
Believer	Imagine Dragons	Evolve	204
Someone You Loved	Lewis Capaldi	Divinely Uninspired to a Hellish Extent	182
Just the Way You Are	Bruno Mars	Doo-Wops & Hooligans	221
Locked Out of Heaven	Bruno Mars	Unorthodox Jukebox	233
Shallow	Lady Gaga & Bradley Cooper	A Star Is Born Soundtrack	216
Stay With Me	Sam Smith	In the Lonely Hour	172
Let It Be	The Beatles	Let It Be	243
Lemon	Kenshi Yonezu	STRAY SHEEP	255
Pretender	Official HIGE DANdism	Traveler	327
夜に駆ける	YOASOBI	THE BOOK	262
First Love	Hikaru Utada	First Love	257
ただ君に晴れ	ヨルシカ	だから僕は音楽を辞めた	204
怪物	YOASOBI	THE BOOK 2	236
群青	YOASOBI	THE BOOK 2	246
アイドル	YOASOBI	アイドル	207
マリーゴールド	あいみょん	瞬間的シックスセンス	305
裸の心	あいみょん	おいしいパスタがあると聞いて	218
新宝島	サカナクション	834.194	301
花束	back number	スーパースター	286
クリスマスソング	back number	シャンデリア	316
打上花火	DAOKO × 米津玄師	打上花火	289
奏（かなで）	スキマスイッチ	夏雲ノイズ	343
Dynamite	BTS	BE	199
Ditto	NewJeans	OMG	186
Gangnam Style	PSY	PSY 6 (Six Rules), Pt. 1	219
LOVE SCENARIO	iKON	Return	209
봄날	BTS	YOU NEVER WALK ALONE	274
Butter	BTS	Butter	164
작은 것들을 위한 시 (Boy With Luv)	BTS feat. Halsey	MAP OF THE SOUL : PERSONA	230
Hype Boy	NewJeans	New Jeans	179
Super Shy	NewJeans	Get Up	155
뚜두뚜두 (DDU-DU DDU-DU)	BLACKPINK	Square Up	212
